street_address,month,city,state,zipcode,energy_type,energy_demand,latitude,longitude
231 Bennington St,1,Boston,Massachusetts,02128,Electric,4.25,42.37789615,-71.03041554563
231 Bennington St,2,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,3,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,4,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,5,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,6,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,7,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,8,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,9,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,10,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,11,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
231 Bennington St,12,Boston,Massachusetts,02128,Electric,4.0,42.37789615,-71.03041554563
Neponset Ave,1,Boston,Massachusetts,02122,Electric,4.75,42.29589489022175,-71.05443272538143
Neponset Ave,2,Boston,Massachusetts,02122,Electric,4.7,42.29589489022175,-71.05443272538143
Neponset Ave,3,Boston,Massachusetts,02122,Electric,4.7272727272727275,42.29589489022175,-71.05443272538143
Neponset Ave,4,Boston,Massachusetts,02122,Electric,4.333333333333333,42.29589489022175,-71.05443272538143
Neponset Ave,5,Boston,Massachusetts,02122,Electric,4.625,42.29589489022175,-71.05443272538143
Neponset Ave,6,Boston,Massachusetts,02122,Electric,4.444444444444445,42.29589489022175,-71.05443272538143
Neponset Ave,7,Boston,Massachusetts,02122,Electric,4.764705882352941,42.29589489022175,-71.05443272538143
Neponset Ave,8,Boston,Massachusetts,02122,Electric,4.545454545454546,42.29589489022175,-71.05443272538143
Neponset Ave,9,Boston,Massachusetts,02122,Electric,4.6923076923076925,42.29589489022175,-71.05443272538143
Neponset Ave,10,Boston,Massachusetts,02122,Electric,4.666666666666667,42.29589489022175,-71.05443272538143
Neponset Ave,11,Boston,Massachusetts,02122,Electric,4.5,42.29589489022175,-71.05443272538143
Neponset Ave,12,Boston,Massachusetts,02122,Electric,4.444444444444445,42.29589489022175,-71.05443272538143
ARLINGTON ST,5,BOSTON,Massachusetts,02116,Stormwater,5.0,42.348316414538765,-71.06926418859564
ARLINGTON ST,6,BOSTON,Massachusetts,02116,Stormwater,5.0,42.348316414538765,-71.06926418859564
Alford St,1,Charlestown,Massachusetts,02129,Water,116.0,42.38422827338118,-71.07289541245366
Alford St,2,Charlestown,Massachusetts,02129,Water,317.5,42.38422827338118,-71.07289541245366
Alford St,3,Charlestown,Massachusetts,02129,Water,388.75,42.38422827338118,-71.07289541245366
Alford St,4,Charlestown,Massachusetts,02129,Water,303.75,42.38422827338118,-71.07289541245366
Alford St,5,Charlestown,Massachusetts,02129,Water,154.0,42.38422827338118,-71.07289541245366
Alford St,6,Charlestown,Massachusetts,02129,Water,167.5,42.38422827338118,-71.07289541245366
Alford St,7,Charlestown,Massachusetts,02129,Water,216.66666666666666,42.38422827338118,-71.07289541245366
Alford St,8,Charlestown,Massachusetts,02129,Water,342.5,42.38422827338118,-71.07289541245366
Alford St,9,Charlestown,Massachusetts,02129,Water,308.2,42.38422827338118,-71.07289541245366
Alford St,10,Charlestown,Massachusetts,02129,Water,106.75,42.38422827338118,-71.07289541245366
Alford St,11,Charlestown,Massachusetts,02129,Water,186.0,42.38422827338118,-71.07289541245366
Alford St,12,Charlestown,Massachusetts,02129,Water,148.0,42.38422827338118,-71.07289541245366
Heath St,1,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,2,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,3,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,4,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,5,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,6,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,7,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,8,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,9,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,10,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,11,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
Heath St,12,Jamaica Plain,Massachusetts,02130,Water,,42.32636870191842,-71.10071602239287
JEWISH WAR VETERANS DR,1,JAMAICA PLAIN,Massachusetts,02130,Water,39360.0,42.372602,-70.971609
JEWISH WAR VETERANS DR,2,JAMAICA PLAIN,Massachusetts,02130,Water,16830.0,42.372602,-70.971609
JEWISH WAR VETERANS DR,11,JAMAICA PLAIN,Massachusetts,02130,Water,21440.0,42.372602,-70.971609
JEWISH WAR VETERANS DR,12,JAMAICA PLAIN,Massachusetts,02130,Water,21970.0,42.372602,-70.971609
Jamaicaway,1,Boston,Massachusetts,02130,Water,16.666666666666668,42.31507494361136,-71.11777854178277
Jamaicaway,2,Boston,Massachusetts,02130,Water,245.0,42.31507494361136,-71.11777854178277
Jamaicaway,3,Boston,Massachusetts,02130,Water,150.0,42.31507494361136,-71.11777854178277
Jamaicaway,4,Boston,Massachusetts,02130,Water,507.3333333333333,42.31507494361136,-71.11777854178277
Jamaicaway,5,Boston,Massachusetts,02130,Water,1166.3846153846155,42.31507494361136,-71.11777854178277
Jamaicaway,6,Boston,Massachusetts,02130,Water,3318.4615384615386,42.31507494361136,-71.11777854178277
Jamaicaway,7,Boston,Massachusetts,02130,Water,2613.769230769231,42.31507494361136,-71.11777854178277
Jamaicaway,8,Boston,Massachusetts,02130,Water,2497.5384615384614,42.31507494361136,-71.11777854178277
Jamaicaway,9,Boston,Massachusetts,02130,Water,2248.3076923076924,42.31507494361136,-71.11777854178277
Jamaicaway,10,Boston,Massachusetts,02130,Water,1649.875,42.31507494361136,-71.11777854178277
Jamaicaway,11,Boston,Massachusetts,02130,Water,1613.2142857142858,42.31507494361136,-71.11777854178277
Jamaicaway,12,Boston,Massachusetts,02130,Water,408.90909090909093,42.31507494361136,-71.11777854178277
Jewish War Veterans DR,1,Jamaica Plain,Massachusetts,02130,Water,23955.0,42.372602,-70.971609
Jewish War Veterans DR,2,Jamaica Plain,Massachusetts,02130,Water,14147.713076923079,42.372602,-70.971609
Jewish War Veterans DR,3,Jamaica Plain,Massachusetts,02130,Water,14049.409230769232,42.372602,-70.971609
Jewish War Veterans DR,4,Jamaica Plain,Massachusetts,02130,Water,10412.259999999998,42.372602,-70.971609
Jewish War Veterans DR,5,Jamaica Plain,Massachusetts,02130,Water,16507.196666666667,42.372602,-70.971609
Jewish War Veterans DR,6,Jamaica Plain,Massachusetts,02130,Water,18104.140714285713,42.372602,-70.971609
Jewish War Veterans DR,7,Jamaica Plain,Massachusetts,02130,Water,16731.940714285713,42.372602,-70.971609
Jewish War Veterans DR,8,Jamaica Plain,Massachusetts,02130,Water,21795.85785714286,42.372602,-70.971609
Jewish War Veterans DR,9,Jamaica Plain,Massachusetts,02130,Water,17894.305384615385,42.372602,-70.971609
Jewish War Veterans DR,10,Jamaica Plain,Massachusetts,02130,Water,18012.501764705885,42.372602,-70.971609
Jewish War Veterans DR,11,Jamaica Plain,Massachusetts,02130,Water,15852.75846153846,42.372602,-70.971609
Jewish War Veterans DR,12,Jamaica Plain,Massachusetts,02130,Water,15791.266153846153,42.372602,-70.971609
Long Island Road,1,Boston,Massachusetts,02201,Water,5.0,42.3121196900073,-70.97162965327203
Long Island Road,2,Boston,Massachusetts,02201,Water,,42.3121196900073,-70.97162965327203
Long Island Road,3,Boston,Massachusetts,02201,Water,,42.3121196900073,-70.97162965327203
Long Island Road,4,Boston,Massachusetts,02201,Water,1150.0,42.3121196900073,-70.97162965327203
Long Island Road,5,Boston,Massachusetts,02201,Water,18002.14285714286,42.3121196900073,-70.97162965327203
Long Island Road,6,Boston,Massachusetts,02201,Water,41717.77777777778,42.3121196900073,-70.97162965327203
Long Island Road,7,Boston,Massachusetts,02201,Water,101255.0,42.3121196900073,-70.97162965327203
Long Island Road,8,Boston,Massachusetts,02201,Water,101081.42857142857,42.3121196900073,-70.97162965327203
Long Island Road,9,Boston,Massachusetts,02201,Water,95645.55555555556,42.3121196900073,-70.97162965327203
Long Island Road,10,Boston,Massachusetts,02201,Water,73756.25,42.3121196900073,-70.97162965327203
