period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2024-09,MA,Massachusetts,ALL,all sectors,3248037,23.74,930.07707,3918.28526,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-09,MA,Massachusetts,TRA,transportation,2,8.72,2.06112,23.64832,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-09,MA,Massachusetts,RES,residential,2818916,29.17,462.91004,1587.17566,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-09,MA,Massachusetts,IND,industrial,10135,18.03,85.17674,472.45947,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-09,MA,Massachusetts,COM,commercial,418984,20.7,379.92917,1835.00181,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,ALL,all sectors,3362703,24.24,1057.85365,4364.80694,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,TRA,transportation,2,8.68,2.05922,23.72762,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,RES,residential,2930442,29.42,555.7019,1888.69875,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,IND,industrial,10122,17.97,90.59128,504.05323,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-08,MA,Massachusetts,COM,commercial,422137,21.02,409.50125,1948.32733,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,ALL,all sectors,3409533,24.11,1111.4762,4610.67397,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,TRA,transportation,2,8.76,2.1142,24.12523,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,RES,residential,2958379,28.76,593.02694,2062.02961,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,IND,industrial,10121,18.33,91.19774,497.47938,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-07,MA,Massachusetts,COM,commercial,441031,20.97,425.13732,2027.03975,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,IND,industrial,9850,18.05,87.30182,483.74038,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,COM,commercial,435469,20.82,400.05876,1921.74883,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,ALL,all sectors,3279632,23.35,947.50929,4058.63919,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,TRA,transportation,2,9.04,2.11656,23.41508,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,RES,residential,2834311,28.1,458.03215,1629.73491,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,ALL,all sectors,3341248,23.21,883.14146,3805.05679,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,TRA,transportation,2,8.74,2.0472,23.42543,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,RES,residential,2884586,28.64,414.39837,1446.74997,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,IND,industrial,9901,17.46,81.7064,467.91829,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-05,MA,Massachusetts,COM,commercial,446759,20.62,384.98948,1866.9631,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,ALL,all sectors,3343119,23.18,881.28775,3802.64862,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,TRA,transportation,2,9.38,2.13315,22.7299,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,COM,commercial,447993,19.66,365.37154,1858.53312,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,IND,industrial,10183,17.76,79.38376,446.97716,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-04,MA,Massachusetts,RES,residential,2884941,29.46,434.3993,1474.40845,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,ALL,all sectors,3418064,23.88,983.64649,4118.8223,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,TRA,transportation,2,9.4,2.31721,24.64465,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,RES,residential,2941671,29.6,493.52042,1667.32748,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,IND,industrial,10192,17.92,81.2717,453.43419,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-03,MA,Massachusetts,COM,commercial,466199,20.6,406.53716,1973.41598,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,ALL,all sectors,3416136,24.17,1019.98795,4220.39347,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,TRA,transportation,2,9.54,2.37656,24.91793,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,RES,residential,2943223,29.21,514.0744,1759.65785,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,IND,industrial,10576,17.98,80.39257,447.08361,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-02,MA,Massachusetts,COM,commercial,462335,21.28,423.14442,1988.73408,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,ALL,all sectors,3360106,23.89,1079.24153,4516.8097,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,TRA,transportation,2,9.83,2.69082,27.38017,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,RES,residential,2899397,28.39,538.00017,1894.70404,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,IND,industrial,11219,18.65,92.09756,493.93084,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-01,MA,Massachusetts,COM,commercial,449488,21.25,446.45298,2100.79465,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,ALL,all sectors,3353826,23.1,927.81839,4017.08953,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,TRA,transportation,2,6.94,1.70412,24.57242,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,RES,residential,2888760,28.94,464.87064,1606.24774,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,IND,industrial,10354,17.66,82.7302,468.39194,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-12,MA,Massachusetts,COM,commercial,454710,19.74,378.51343,1917.87744,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,ALL,all sectors,3363641,22.34,857.76613,3839.33358,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,TRA,transportation,2,6.6,1.46014,22.13841,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,RES,residential,2899569,28.41,399.08158,1404.55382,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,IND,industrial,10573,17.67,89.13308,504.5017,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-11,MA,Massachusetts,COM,commercial,453497,19.29,368.09134,1908.13965,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,ALL,all sectors,3363507,22.02,857.95015,3896.03899,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,TRA,transportation,2,6.65,1.38723,20.87525,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,RES,residential,2901089,28.19,390.0078,1383.58273,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,IND,industrial,10532,17.47,88.07423,504.14108,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-10,MA,Massachusetts,COM,commercial,451884,19.04,378.48089,1987.43993,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,ALL,all sectors,3329422,22.22,1004.12517,4519.58286,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,TRA,transportation,2,6.79,1.43343,21.1177,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,RES,residential,2871766,28.18,499.26434,1771.68105,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,IND,industrial,10515,17.44,92.24196,528.94212,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-09,MA,Massachusetts,COM,commercial,447139,18.71,411.18544,2197.842,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
