Entity,Code,Year,PV price/W
World,OWID_WRL,2001,6.2051206
World,OWID_WRL,2002,5.6747065
World,OWID_WRL,2003,5.3948364
World,OWID_WRL,2004,4.5209866
World,OWID_WRL,2005,4.569292
World,OWID_WRL,2006,4.9805
World,OWID_WRL,2007,5.0173874
World,OWID_WRL,2008,4.572692
World,OWID_WRL,2009,3.0563195
World,OWID_WRL,2010,2.388455
World,OWID_WRL,2011,1.9594005
World,OWID_WRL,2012,1.0559267
World,OWID_WRL,2013,0.81395847
World,OWID_WRL,2014,0.75022864
World,OWID_WRL,2015,0.697721
World,OWID_WRL,2016,0.64478046
World,OWID_WRL,2017,0.5409895
World,OWID_WRL,2018,0.48153684
World,OWID_WRL,2019,0.44111046
World,OWID_WRL,2020,0.34971163
World,OWID_WRL,2021,0.31517783
World,OWID_WRL,2022,0.34740946
World,OWID_WRL,2023,0.3056964
World,OWID_WRL,2024,0.299674
